Pgen-contig,Hit-evalue,Hit-Entry,Hit-Gene ontology (GO),Hit-Protein names,Hit-Organism
Pgenerosa-v1_contig_26275,3.00E-11,P41047,"T cell apoptotic process; activation of cysteine-type endopeptidase activity involved in apoptotic process; activation of necroptosis by extracellular signals; activation of necroptosis of activated-T cells; caveola; cellular chloride ion homeostasis; cellular response to stress; cytoplasmic membrane-bounded vesicle lumen; endosomal lumen acidification; external side of plasma membrane; extracellular space; extracellular vesicular exosome; extrinsic apoptotic signaling pathway via death domain receptors; immune response; inflammatory cell apoptotic process; integral to membrane; lysosomal lumen; necrotic cell death; negative regulation of angiogenesis; negative regulation of transcription from RNA polymerase II promoter; nucleus; perinuclear region of cytoplasm; positive regulation of I-kappaB kinase/NF-kappaB cascade; positive regulation of apoptotic process; positive regulation of cell proliferation; positive regulation of endothelial cell apoptotic process; positive regulation of epidermal growth factor receptor signaling pathway; positive regulation of neuron apoptotic process; response to growth factor stimulus; response to lipopolysaccharide; retinal cell programmed cell death; transcription, DNA-dependent","Tumor necrosis factor ligand superfamily member 6 (CD95 ligand) (CD95-L) (Fas antigen ligand) (Fas ligand) (FasL) (CD antigen CD178) [Cleaved into: Tumor necrosis factor ligand superfamily member 6, membrane form; Tumor necrosis factor ligand superfamily member 6, soluble form (Receptor-binding FasL ectodomain) (Soluble Fas ligand) (sFasL); ADAM10-processed FasL form (APL); FasL intracellular domain (FasL ICD) (SPPL2A-processed FasL form) (SPA)]",Mus musculus (Mouse)
Pgenerosa-v1_contig_26277,9.00E-57,Q28970,ATP binding; cell cortex; motor activity; myosin complex; sensory perception of sound,Unconventional myosin-VIIa (Fragment),Sus scrofa (Pig)
Pgenerosa-v1_contig_2628,1.00E-45,P62315,RNA splicing; U12-type spliceosomal complex; catalytic step 2 spliceosome; cytoplasm; mRNA processing; nucleus,Small nuclear ribonucleoprotein Sm D1 (Sm-D1) (Sm-D autoantigen) (snRNP core protein D1),Mus musculus (Mouse)
Pgenerosa-v1_contig_26282,1.00E-48,Q32PW3,"metallopeptidase activity; nucleus; regulation of transcription, DNA-dependent; transcription, DNA-dependent; zinc ion binding",Transcription initiation factor TFIID subunit 2 (TBP-associated factor 150 kDa) (Transcription initiation factor TFIID 150 kDa subunit) (TAF(II)150) (TAFII-150) (TAFII150),Danio rerio (Zebrafish) (Brachydanio rerio)
Pgenerosa-v1_contig_26283,2.00E-39,Q8NB49,ATP binding; cation-transporting ATPase activity; endoplasmic reticulum; endoplasmic reticulum membrane; integral to membrane; ion transmembrane transport; lysosomal membrane; magnesium ion binding; phospholipid translocation; phospholipid-translocating ATPase activity; plasma membrane,Probable phospholipid-transporting ATPase IG (EC 3.6.3.1) (ATPase IQ) (ATPase class VI type 11C),Homo sapiens (Human)
Pgenerosa-v1_contig_26286,1.00E-44,Q12965,"ATP binding; ATPase activity, coupled; actin filament binding; actin filament-based movement; adherens junction; calmodulin binding; cell-cell junction; clathrin-coated vesicle; cytoplasm; endocytosis; glomerular basement membrane development; glomerular filtration; glomerular visceral epithelial cell development; in utero embryonic development; microfilament motor activity; myosin complex; phosphatidylinositol binding; platelet-derived growth factor receptor signaling pathway; post-embryonic hemopoiesis; vasculogenesis",Unconventional myosin-Ie (Myosin-Ic) (Unconventional myosin 1E),Homo sapiens (Human)
Pgenerosa-v1_contig_26289,2.00E-39,Q32PH0,Golgi apparatus; cell differentiation; endoplasmic reticulum,Trafficking protein particle complex subunit 9 (NIK- and IKBKB-binding protein),Bos taurus (Bovine)
Pgenerosa-v1_contig_2629,1.00E-36,P14381,RNA binding; RNA-dependent DNA replication; RNA-directed DNA polymerase activity,Transposon TX1 uncharacterized 149 kDa protein (ORF 2),Xenopus laevis (African clawed frog)
Pgenerosa-v1_contig_26291,2.00E-71,Q99698,T cell mediated immunity; blood coagulation; cytosol; defense response to bacterium; defense response to protozoan; defense response to virus; endosome to lysosome transport via multivesicular body sorting pathway; leukocyte chemotaxis; lysosome organization; mast cell secretory granule organization; melanosome organization; microtubule cytoskeleton; microtubule-based process; natural killer cell mediated cytotoxicity; neutrophil mediated immunity; phospholipid homeostasis; phospholipid metabolic process; positive regulation of natural killer cell activation; response to drug; secretion of lysosomal enzymes,Lysosomal-trafficking regulator (Beige homolog),Homo sapiens (Human)
Pgenerosa-v1_contig_26294,2.00E-57,C5FP68,"protein ubiquitination; regulation of transcription, DNA-dependent; transcription, DNA-dependent",Probable E3 ubiquitin ligase complex SCF subunit sconB (Sulfur controller B) (Sulfur metabolite repression control protein B),Arthroderma otae (strain ATCC MYA-4605 / CBS 113480) (Microsporum canis)
Pgenerosa-v1_contig_26298,9.00E-35,Q9NSD4,"DNA binding; metal ion binding; nucleus; regulation of transcription, DNA-dependent; transcription, DNA-dependent",Zinc finger protein 275,Homo sapiens (Human)
Pgenerosa-v1_contig_26299,2.00E-16,Q9DAK3,GTP binding; intracellular; small GTPase mediated signal transduction,Rho-related BTB domain-containing protein 1,Mus musculus (Mouse)
Pgenerosa-v1_contig_2630,0,P50416,carnitine O-palmitoyltransferase activity; carnitine metabolic process; carnitine shuttle; eating behavior; fatty acid beta-oxidation; glucose metabolic process; integral to mitochondrial outer membrane; long-chain fatty acid metabolic process; mitochondrial inner membrane; positive regulation of fatty acid beta-oxidation; protein homooligomerization; regulation of insulin secretion; response to drug; response to organic cyclic compound; triglyceride metabolic process,"Carnitine O-palmitoyltransferase 1, liver isoform (CPT1-L) (EC 2.3.1.21) (Carnitine O-palmitoyltransferase I, liver isoform) (CPT I) (CPTI-L) (Carnitine palmitoyltransferase 1A)",Homo sapiens (Human)
Pgenerosa-v1_contig_26302,1.00E-34,Q6IDD9,axon; cytoplasm; innate immune response; neuron projection; neuronal cell body; regulation of neuron death; signal transduction,Sterile alpha and TIR motif-containing protein 1 (Tir-1 homolog) (dSarm),Drosophila melanogaster (Fruit fly)
Pgenerosa-v1_contig_26303,6.00E-18,Q9NZJ4,ATP binding; axon; cell body fiber; cell death; chaperone binding; dendrite; mitochondrion; negative regulation of inclusion body assembly; nucleus; protein folding,Sacsin (DnaJ homolog subfamily C member 29) (DNAJC29),Homo sapiens (Human)
Pgenerosa-v1_contig_26305,6.00E-19,Q60674,DNA binding; nucleus; sequence-specific DNA binding; sequence-specific DNA binding transcription factor activity; steroid hormone receptor activity; thyroid hormone receptor activity; zinc ion binding,Nuclear receptor subfamily 1 group D member 2 (Orphan nuclear receptor RVR) (Rev-erb-beta),Mus musculus (Mouse)
Pgenerosa-v1_contig_26309,2.00E-16,Q9I7U4,Z disc; actin binding; cell division; condensed nuclear chromosome; locomotion; mesoderm development; microtubule associated complex; mitotic chromosome condensation; muscle attachment; myoblast fusion; regulation of hemocyte proliferation; sarcomere organization; sister chromatid cohesion; skeletal muscle tissue development; somatic muscle development; structural constituent of muscle; visceral muscle development,Titin (D-Titin) (Kettin),Drosophila melanogaster (Fruit fly)
Pgenerosa-v1_contig_26311,1.00E-66,Q8N8E3,centrosome; cytoplasm; inhibitory synapse; plasma membrane; receptor localization to synapse,Centrosomal protein of 112 kDa (Cep112) (Coiled-coil domain-containing protein 46),Homo sapiens (Human)
Pgenerosa-v1_contig_26312,2.00E-20,Q9BXS9,PDZ domain binding; angiotensin-mediated signaling pathway; anion:anion antiporter activity; apical plasma membrane; basolateral plasma membrane; bicarbonate transmembrane transporter activity; brush border membrane; cellular response to cAMP; cellular response to fructose stimulus; cellular response to interferon-gamma; chloride channel activity; chloride channel complex; chloride transmembrane transporter activity; cytoplasmic vesicle membrane; endoplasmic reticulum; epithelial fluid transport; formate efflux transmembrane transporter activity; formate uptake transmembrane transporter activity; integral to membrane; integral to plasma membrane; intestinal absorption; intracellular pH elevation; mannitol transport; oxalate transmembrane transporter activity; oxalic acid secretion; plasma membrane; positive regulation of dipeptide transmembrane transport; protein kinase C signaling cascade; regulation of intracellular pH; secondary active sulfate transmembrane transporter activity; sperm capacitation; sperm midpiece; sulfate transmembrane transporter activity; sulfate transport; transepithelial chloride transport; vesicle membrane,Solute carrier family 26 member 6 (Anion exchange transporter) (Pendrin-like protein 1) (Pendrin-L1),Homo sapiens (Human)
Pgenerosa-v1_contig_26313,3.00E-48,Q96IK5,"cell differentiation; multicellular organismal development; nuclear envelope; nuclear matrix; regulation of transcription, DNA-dependent; spermatogenesis",Germ cell-less protein-like 1,Homo sapiens (Human)
Pgenerosa-v1_contig_26314,2.00E-50,Q5F479,cytoplasm,Serine/threonine-protein kinase 11-interacting protein,Gallus gallus (Chicken)
Pgenerosa-v1_contig_26315,8.00E-21,P10076,"DNA binding; metal ion binding; nucleus; regulation of transcription, DNA-dependent",Zinc finger protein 26 (Zfp-26) (Protein mKR3),Mus musculus (Mouse)
Pgenerosa-v1_contig_26317,2.00E-59,P17563,brown fat cell differentiation; cytosol; membrane; nucleus; protein transport; selenium binding,Selenium-binding protein 1 (56 kDa selenium-binding protein) (SBP56) (SP56),Mus musculus (Mouse)
Pgenerosa-v1_contig_26321,5.00E-08,Q8TAM1,ATP binding; cellular protein metabolic process; chaperone-mediated protein complex assembly; cilium; nonmotile primary cilium assembly; photoreceptor cell maintenance; regulation of protein complex assembly; response to stimulus; visual perception,Bardet-Biedl syndrome 10 protein,Homo sapiens (Human)
Pgenerosa-v1_contig_26324,5.00E-26,Q9VHD3,L-phenylalanine catabolic process; cytoplasm; glutathione metabolic process; glutathione transferase activity; maleylacetoacetate isomerase activity; tyrosine catabolic process,Probable maleylacetoacetate isomerase 1 (MAAI 1) (EC 5.2.1.2) (Glutathione S-transferase zeta 1) (EC 2.5.1.18),Drosophila melanogaster (Fruit fly)
Pgenerosa-v1_contig_2633,0,Q7L014,ATP binding; ATP-dependent helicase activity; Cajal body; RNA binding; RNA splicing; mRNA processing; nuclear speck; nucleolus,Probable ATP-dependent RNA helicase DDX46 (EC 3.6.4.13) (DEAD box protein 46) (PRP5 homolog),Homo sapiens (Human)
Pgenerosa-v1_contig_26337,2.00E-86,Q5ZIC8,cytoplasm; nucleus; protein transport,Importin-13 (Imp13),Gallus gallus (Chicken)
Pgenerosa-v1_contig_26342,5.00E-13,Q91YU6,Wnt receptor signaling pathway; cell division; cytoplasm; microtubule; microtubule organizing center; mitosis,Leucine zipper putative tumor suppressor 2 (Protein LAPSER1),Mus musculus (Mouse)
Pgenerosa-v1_contig_26344,1.00E-88,Q28056,"activation of cysteine-type endopeptidase activity; activation of store-operated calcium channel activity; calcium ion transmembrane transport; cellular response to calcium ion; cortical endoplasmic reticulum; face morphogenesis; integral to endoplasmic reticulum membrane; limb morphogenesis; negative regulation of cell proliferation; palate development; pattern specification process; peptide-aspartate beta-dioxygenase activity; peptidyl-aspartic acid hydroxylation; plasma membrane; positive regulation of calcium ion transport into cytosol; positive regulation of intracellular protein transport; positive regulation of proteolysis; positive regulation of transcription, DNA-dependent; regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity; regulation of protein depolymerization; regulation of protein stability; response to ATP",Aspartyl/asparaginyl beta-hydroxylase (EC 1.14.11.16) (Aspartate beta-hydroxylase) (ASP beta-hydroxylase) (Peptide-aspartate beta-dioxygenase),Bos taurus (Bovine)
Pgenerosa-v1_contig_26345,8.00E-25,O42596,integral to membrane; metalloendopeptidase activity; proteolysis; zinc ion binding,Disintegrin and metalloproteinase domain-containing protein 22 (ADAM 22) (MDC11.2) (Metalloprotease-disintegrin MDC11b),Xenopus laevis (African clawed frog)
Pgenerosa-v1_contig_26346,8.00E-76,Q5RD33,protein transport,Amyloid beta A4 precursor protein-binding family A member 2,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
Pgenerosa-v1_contig_26348,5.00E-21,Q96JK4,"carbohydrate metabolic process; extracellular region; membrane; oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor; quinone binding; scavenger receptor activity",HHIP-like protein 1,Homo sapiens (Human)
Pgenerosa-v1_contig_2635,7.00E-18,P82912,"DNA damage response, detection of DNA damage; mitochondrial small ribosomal subunit; structural constituent of ribosome; translation","28S ribosomal protein S11, mitochondrial (MRP-S11) (S11mt) (Cervical cancer proto-oncogene 2 protein) (HCC-2)",Homo sapiens (Human)
Pgenerosa-v1_contig_26356,1.00E-19,Q8N1G0,"DNA binding; metal ion binding; nucleolus; regulation of transcription, DNA-dependent; transcription, DNA-dependent",Zinc finger protein 687,Homo sapiens (Human)
Pgenerosa-v1_contig_2636,1.00E-15,P28758,age-dependent response to reactive oxygen species involved in chronological cell aging; cell redox homeostasis; cellular copper ion homeostasis; cellular zinc ion homeostasis; cytosol; metal ion binding; mitochondrial intermembrane space; nucleus; removal of superoxide radicals; superoxide dismutase activity,Superoxide dismutase [Cu-Zn] (EC 1.15.1.1),Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
Pgenerosa-v1_contig_26363,2.00E-94,Q12768,WASH complex; cell death; endosomal transport; endosome,WASH complex subunit strumpellin,Homo sapiens (Human)
Pgenerosa-v1_contig_26367,2.00E-68,Q08DA5,ATP binding; coenzyme A biosynthetic process; cytoplasm; pantothenate kinase activity,Pantothenate kinase 3 (EC 2.7.1.33) (Pantothenic acid kinase 3),Bos taurus (Bovine)
Pgenerosa-v1_contig_26368,2.00E-10,Q51330,antiporter activity; integral to membrane; ion transport; plasma membrane,Oxalate:formate antiporter (OFA) (Oxalate:formate antiport protein) (Oxalate:formate exchange protein),Oxalobacter formigenes
Pgenerosa-v1_contig_26370,1.00E-49,Q5ZMT7,ATP binding; extracellular region; protein serine/threonine kinase activity,Uncharacterized aarF domain-containing protein kinase 1 (EC 2.7.11.-),Gallus gallus (Chicken)
Pgenerosa-v1_contig_26382,4.00E-08,Q16534,double-stranded DNA binding; multicellular organismal development; nucleus; rhythmic process; sequence-specific DNA binding; sequence-specific DNA binding transcription factor activity; skeletal muscle cell differentiation; transcription from RNA polymerase II promoter,Hepatic leukemia factor,Homo sapiens (Human)
Pgenerosa-v1_contig_26386,3.00E-07,P0CY12,nucleus; sequence-specific DNA binding; sequence-specific DNA binding transcription factor activity,Putative mating-type protein A2 (MATa2 protein),Saccharomyces cerevisiae (Baker's yeast)
Pgenerosa-v1_contig_26391,1.00E-44,B0BML7,cytoplasm; sepiapterin reductase activity; tetrahydrobiopterin biosynthetic process,Sepiapterin reductase (SPR) (EC 1.1.1.153),Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Pgenerosa-v1_contig_26392,8.00E-12,Q9BU70,hydrolase activity; modulation by virus of host morphology or physiology,Nef-associated protein 1 (EC 3.1.2.-) (Thioesterase NAP1),Homo sapiens (Human)
